id,jurisdiction_type_x,rechtbank,gerechtshof,appeal,crime_location,verdict_date_year,verdict_date_month,crime_date_month,crime_date_year,age,minor,criminal_organization,drug_type,jurisdiction_type_y,jeugdstrafrecht
ECLI-NL-GHARN-2010-BM2531,['Strafrecht'],zwolle-lelystad,arnhem,1,,2010,apr,jul,2004,,0,0,['hennep'],,0
ECLI-NL-GHLEE-2010-BL7458,['Strafrecht'],leeuwarden,leeuwarden,1,,2010,mar,feb,2007,,0,0,['hennep'],,0
ECLI-NL-RBMAA-2008-BH1170,['Strafrecht'],maastricht,,0,,2008,aug,may,2008,,0,0,"['mdma', 'amfetamines/metamfetamines', 'heroine']",,0
ECLI-NL-RBDOR-2007-BB9324,['Strafrecht'],dordrecht,,0,,2007,nov,jul,2007,22.0,0,0,['cocaine'],,0
ECLI-NL-RBROT-2005-AT7769,['Strafrecht'],rotterdam,,0,rotterdam,2005,jun,nov,2004,,0,0,['cocaine'],,0
ECLI-NL-RBROT-2005-AT7772,['Strafrecht'],rotterdam,,0,rotterdam,2005,jun,nov,2004,,0,0,['cocaine'],,0
ECLI-NL-RBROT-2005-AT7779,['Strafrecht'],rotterdam,,0,rotterdam,2005,jun,nov,2004,21.0,0,0,['cocaine'],,0
ECLI-NL-RBLIM-2021-7190,['Strafrecht'],limburg,’s-hertogenbosch,1,,2021,sep,may,2020,22.0,0,0,"['cocaine', 'mdma']",['Strafrecht'],1
ECLI-NL-RBNHO-2019-6072,['Strafrecht'],noord-holland,,0,,2019,jul,jul,2016,,0,0,['xtc'],,0
ECLI-NL-RBNNE-2018-4338,['Strafrecht'],noord-nederland,,0,,2018,oct,aug,2017,,0,0,"['cocaine', 'heroine']",,0
ECLI-NL-RBNHO-2021-265,['Strafrecht'],noord-holland,amsterdam,1,,2021,jan,jan,2013,,0,1,['cocaine'],,0
ECLI-NL-RBNHO-2020-5330,['Strafrecht'],noord-holland,,0,,2020,jul,nov,2016,,0,0,"['cocaine', 'mdma', 'amfetamines/metamfetamines', 'heroine']",,0
ECLI-NL-RBGEL-2021-4499,['Strafrecht'],gelderland,,0,zevenaar,2021,aug,apr,2021,23.0,0,0,['hennep'],,0
ECLI-NL-RBNNE-2021-576,['Strafrecht'],noord-nederland,,0,,2021,feb,oct,2017,18.0,0,0,"['hennep', 'mdma', 'amfetamines/metamfetamines', 'xtc', 'cocaine']",,0
ECLI-NL-RBROT-2020-12598,['Strafrecht'],rotterdam,,0,,2020,dec,nov,2019,,0,0,['heroine'],,0
ECLI-NL-RBAMS-2019-9027,['Strafrecht'],amsterdam,,0,amsterdam,2019,nov,jun,2019,20.0,0,1,"['cocaine', 'aceton']",,0
ECLI-NL-RBLIM-2019-6565,['Strafrecht'],limburg,,0,,2019,jul,feb,2017,,0,0,['hennep'],,0
ECLI-NL-RBAMS-2019-3579,['Strafrecht'],amsterdam,,0,,2019,may,may,2017,,0,0,"['cocaine', 'heroine', 'hennep']",,0
ECLI-NL-RBROT-2017-1879,['Strafrecht'],rotterdam,,0,,2017,mar,may,2016,,0,0,"['cocaine', 'amfetamines/metamfetamines', 'heroine']",,0
ECLI-NL-RBNNE-2016-5286,['Strafrecht'],noord-nederland,,0,,2016,nov,jun,2006,,0,0,['hennep'],,0
ECLI-NL-RBNHO-2016-578,['Strafrecht'],noord-holland,,0,,2016,jan,oct,2015,,0,0,"['cocaine', 'gbl']",,0
ECLI-NL-GHARL-2015-4304,['Strafrecht'],gelderland,,0,elspeet,2015,jun,aug,2014,,0,0,['mdma'],,0
ECLI-NL-HR-2012-BT6397,['Strafrecht'],d.d.,leeuwarden,1,,2012,mar,sep,2003,,0,0,"['ghb', 'mdma', 'xtc']",,0
ECLI-NL-HR-2012-BT6362,['Strafrecht'],verklaring,leeuwarden,1,,2012,mar,sep,2003,,0,0,"['ghb', 'mdma', 'xtc']",,0
ECLI-NL-RBBRE-2012-BV3900,"['Strafrecht', 'Civiel recht; Personen- en familierecht']",breda,,0,,2012,feb,may,2011,,0,0,['cocaine'],,0
ECLI-NL-RBUTR-2009-BH3352,['Strafrecht'],utrecht,,0,,2009,feb,mar,2008,,0,0,['hennep'],,0
ECLI-NL-GHARN-2006-AZ1501,['Strafrecht'],almelo,arnhem,1,enschede,2006,nov,aug,2005,,0,0,['cocaine'],,0
ECLI-NL-GHAMS-2006-BA5365,['Strafrecht'],alkmaar,te,1,,2006,oct,sep,2005,,0,1,['cocaine'],,0
ECLI-NL-PHR-2021-629,['Strafrecht'],volgende.[…]2.,’s-hertogenbosch,1,,2021,jun,oct,2013,,0,1,"['heroine', 'hennep', 'mdma', 'amfetamines/metamfetamines', 'xtc', 'cocaine', 'ketamine']",,0
ECLI-NL-RBROT-2020-11767,['Strafrecht'],rotterdam,,0,,2020,dec,aug,2020,,0,0,"['cocaine', 'fenacetine']",,0
ECLI-NL-RBOBR-2016-1842,['Strafrecht'],oost-brabant,,0,,2016,apr,oct,2015,,0,0,"['mdma', 'amfetamines/metamfetamines']",,0
ECLI-NL-GHAMS-2003-AF8159,['Strafrecht'],haarlem,amsterdam,1,,2003,feb,may,2000,,0,1,['cocaine'],,0
ECLI-NL-RBMAA-2001-AD6288,['Strafrecht'],nietigheid,,0,,2001,nov,jul,1998,,0,1,"['pmk', 'methanol', 'mdma', 'benzylmethylketon', 'aceton', 'bmk', 'amfetamines/metamfetamines', 'piperonylmethylketon', 'mdea']",,0
ECLI-NL-RBGEL-2022-278,['Strafrecht'],gelderland,,0,arnhem,2022,jan,apr,2019,23.0,0,0,"['mdma', 'heroine']",,0
ECLI-NL-RBNNE-2020-2318,['Strafrecht'],noord-nederland,,0,groningen,2020,jun,mar,2020,,0,0,"['cocaine', 'mdma', 'xtc']",,0
ECLI-NL-RBNHO-2014-6631,['Strafrecht'],noord-holland,,0,purmerend,2014,jul,oct,2013,,0,0,['cocaine'],,0
ECLI-NL-RBROT-2022-9227,['Strafrecht'],rotterdam,,0,,2022,nov,oct,2019,,0,1,['cocaine'],,0
ECLI-NL-RBAMS-2022-4930,['Strafrecht'],amsterdam,,0,,2022,aug,feb,2022,19.0,0,0,['crack'],,0
ECLI-NL-RBROT-2019-7878,['Strafrecht'],rotterdam,,0,,2019,aug,aug,2018,,0,0,"['cocaine', 'hasjiesj']",,0
ECLI-NL-RBOBR-2019-2753,['Strafrecht'],oost-brabant,,0,,2019,may,oct,2018,,0,0,"['amfetamines/metamfetamines', 'heroine']",,0
ECLI-NL-RBNHO-2015-6018,['Strafrecht'],noord-holland,’s-hertogenbosch,1,,2015,jul,apr,2011,,0,0,['hennep'],,0
ECLI-NL-RBNHO-2014-8439,['Strafrecht'],noord-holland,,0,,2014,aug,dec,2013,,0,0,"['hasjiesj', 'hennep']",,0
ECLI-NL-RBGEL-2013-CA1560,['Strafrecht'],gelderland,,0,,2013,may,jan,2013,,0,0,"['ghb', 'amfetamines/metamfetamines']",,0
ECLI-NL-RBZWB-2021-1318,['Strafrecht'],zeeland-west-brabant,,0,,2021,mar,sep,2020,,0,1,['cocaine'],,0
ECLI-NL-RBNNE-2020-4357,['Strafrecht'],noord-nederland,,0,,2020,dec,sep,2016,,0,1,"['heroine', 'hennep', 'mdma', 'amfetamines/metamfetamines', 'cocaine']",,0
ECLI-NL-RBDHA-2017-6248,['Strafrecht'],den haag,,0,,2017,jun,may,2016,,0,0,['cocaine'],,0
ECLI-NL-GHAMS-2011-BT8411,['Strafrecht'],amsterdam,amsterdam,1,ven,2011,oct,may,2006,,0,0,"['amfetamines/metamfetamines', 'heroine']",,0
ECLI-NL-RBDHA-2020-1690,['Strafrecht'],den haag,,0,,2020,feb,nov,2019,,0,0,"['cocaine', 'heroine']",,0
ECLI-NL-RBAMS-2018-3295,['Strafrecht'],amsterdam,,0,,2018,may,mar,2017,,0,0,"['cocaine', 'heroine']",,0
ECLI-NL-GHSGR-2008-BF3978,['Strafrecht'],'s-gravenhage,'s-gravenhage,1,,2008,mar,nov,2005,,0,0,"['cocaine', 'lidocaïne']",,0
ECLI-NL-RBOVE-2018-4483,['Strafrecht'],overijssel,,0,,2018,nov,nov,2018,23.0,0,0,['cocaine'],,0
ECLI-NL-RBGEL-2017-2161,['Strafrecht'],gelderland,,0,,2017,apr,jul,2015,22.0,0,0,"['heroine', 'hennep', 'mdma', 'amfetamines/metamfetamines', 'cocaine', 'ketamine']",,0
ECLI-NL-RBNHO-2013-13047,['Strafrecht'],noord-holland,,0,,2013,dec,apr,2013,,0,0,"['cocaine', 'crack']",,0
ECLI-NL-RBROT-2022-9229,['Strafrecht'],rotterdam,onbepaalde,1,,2022,nov,oct,2019,,0,1,['cocaine'],,0
ECLI-NL-RBMNE-2022-2087,['Strafrecht'],midden-nederland,,0,,2022,jun,may,2022,,0,0,['amfetamines/metamfetamines'],,0
ECLI-NL-RBOBR-2021-5050,['Strafrecht'],oost-brabant,,0,,2021,sep,jul,2021,,0,1,"['cocaine', 'amfetamines/metamfetamines', 'heroine', 'coffeïne']",,0
ECLI-NL-GHARL-2021-3189,['Strafrecht'],noord-nederland,arnhemleeuwarden,1,,2021,apr,mar,2019,,0,0,['amfetamines/metamfetamines'],,0
ECLI-NL-RBROT-2021-1092,['Strafrecht'],rotterdam,,0,,2021,jan,jul,2020,,0,0,['cocaine'],,0
ECLI-NL-RBNNE-2020-378,['Strafrecht'],noord-nederland,oordeel,1,leeuwarden,2020,jan,aug,2019,,0,0,['ghb'],,0
ECLI-NL-RBNNE-2018-3760,['Strafrecht'],noord-nederland,,0,,2018,may,nov,2016,,0,0,"['ghb', 'amfetamines/metamfetamines']",,0
ECLI-NL-RBGEL-2016-3600,['Strafrecht'],gelderland,,0,bergen,2016,jul,dec,2015,,0,0,['amfetamines/metamfetamines'],,0
ECLI-NL-RBAMS-2013-CA0020,['Strafrecht'],amsterdam,amster-dam,1,,2013,mar,jan,2012,,0,0,['amfetamines/metamfetamines'],,0
ECLI-NL-RBSHE-2012-BW9029,['Strafrecht'],'s-hertogenbosch,,0,,2012,jun,jun,2009,,0,0,['hennep'],,0
