id,jurisdiction_type,rechtbank,gerechtshof,appeal,crime_location,verdict_date_year,verdict_date_month,crime_date_month,crime_date_year,age,minor,criminal_organization,drug_type
ECLI-NL-GHSHE-2021-3144,['Strafrecht'],oost-brabant,'s-hertogenbosch,1,drempt,2021,oct,may,2020,20.0,0,0,amfetamines/metamfetamines
ECLI-NL-RBOVE-2016-1290,['Strafrecht'],overijssel,,0,apeldoorn,2016,apr,oct,2014,21.0,0,0,cocaine
ECLI-NL-RBNHO-2020-10700,['Strafrecht'],noord-holland,,0,amsterdam,2020,dec,apr,2019,,0,0,mdma
ECLI-NL-RBNHO-2020-10700,['Strafrecht'],noord-holland,,0,amsterdam,2020,dec,apr,2019,,0,0,cocaine
ECLI-NL-RBNHO-2020-10700,['Strafrecht'],noord-holland,,0,amsterdam,2020,dec,apr,2019,,0,0,2c-b
ECLI-NL-RBNHO-2020-10700,['Strafrecht'],noord-holland,,0,amsterdam,2020,dec,apr,2019,,0,0,amfetamines/metamfetamines
ECLI-NL-RBNNE-2018-1853,['Strafrecht'],noord-nederland,,0,sneek,2018,may,dec,2017,17.0,1,0,cocaine
ECLI-NL-RBAMS-2020-6074,['Strafrecht'],amsterdam,,0,amsterdam,2020,oct,oct,2019,20.0,0,0,mdma
ECLI-NL-RBAMS-2020-6074,['Strafrecht'],amsterdam,,0,amsterdam,2020,oct,oct,2019,20.0,0,0,cocaine
ECLI-NL-RBNHO-2021-5549,['Strafrecht'],noord-holland,,0,hoofddorp,2021,jul,jul,2020,19.0,0,0,hennep
ECLI-NL-RBNHO-2021-5549,['Strafrecht'],noord-holland,,0,hoofddorp,2021,jul,jul,2020,19.0,0,0,hasjiesj
ECLI-NL-RBDHA-2021-11339,['Strafrecht'],den haag,,0,den haag,2021,oct,jun,2020,20.0,0,0,cocaine
ECLI-NL-RBAMS-2022-5604,['Strafrecht; Materieel strafrecht'],amsterdam,,0,amsterdam,2022,sep,oct,2021,22.0,0,0,mdma
ECLI-NL-RBAMS-2022-5604,['Strafrecht; Materieel strafrecht'],amsterdam,,0,amsterdam,2022,sep,oct,2021,22.0,0,0,cocaine
ECLI-NL-RBAMS-2022-5604,['Strafrecht; Materieel strafrecht'],amsterdam,,0,amsterdam,2022,sep,oct,2021,22.0,0,0,hasjiesj
ECLI-NL-RBAMS-2019-6378,['Strafrecht'],amsterdam,,0,amsterdam,2019,aug,aug,2018,19.0,0,0,hasjiesj
ECLI-NL-RBNNE-2021-5174,['Strafrecht'],noord-nederland,,0,noord,2021,dec,aug,2021,20.0,0,0,mdma
ECLI-NL-RBNNE-2021-5174,['Strafrecht'],noord-nederland,,0,noord,2021,dec,aug,2021,20.0,0,0,cocaine
ECLI-NL-RBDHA-2022-11144,['Strafrecht'],den haag,,0,warmond,2022,nov,aug,2022,21.0,0,0,cocaine
ECLI-NL-RBMNE-2022-544,['Strafrecht'],midden-nederland,,0,soest,2022,feb,dec,2020,,0,0,ghb
ECLI-NL-RBROT-2017-836,['Strafrecht'],rotterdam,,0,lelystad,2017,feb,dec,2015,,0,0,hennep
ECLI-NL-RBOBR-2018-804,['Strafrecht'],oost-brabant,,0,helmond,2018,feb,dec,2017,,0,0,cocaine
ECLI-NL-RBDHA-2019-4276,['Strafrecht'],den haag,,0,warmond,2019,apr,nov,2018,18.0,0,0,amfetamines/metamfetamines
ECLI-NL-RBMNE-2020-904,['Strafrecht'],midden-nederland,,0,amersfoort,2020,mar,oct,2018,,0,1,cocaine
